"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","0","10.0250520844","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.213176060993","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0250520844","psycho","Jazzy James","3.1.4"," vp_monat","26","6","48","8","27","7","84","4","2","4","2","8","5204.81273016","4440.52366463","5204.81273016","N","8","64836.0923081","96056.6997603","101029.814427","111048.260058","4828.8896566","64835.9242503","121620.016987","100529.781691","64571.3405555","NA","126825.643153","93237.7921966","94484.6555946","4834.9421528","NA","95663.6839668","NA","121071.641521","106048.332471","116071.424886","64835.7610199","64835.8367516","mental arithmetic experiment","0","10.0250520844","1","yes","1440"
"N","0","10.0235202537","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","0.164957290081","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.021988423","psycho","Jazzy James","3.1.4"," TU_Chemnitz","71","1","97","7","95","5","28","8","7","9","9","2","10063.1070788","4531.47886378","10063.1070788","Y","8","64836.0923081","132685.331145","137745.396286","147766.826226","4828.8896566","64835.9242503","158321.237895","137245.416652","64571.3405555","NA","168385.039231","93237.7921966","129021.356924","4834.9421528","NA","132292.967066","126829.829513","157787.213423","142766.564635","152787.64458","64835.7610199","64835.8367516","mental arithmetic experiment","0","20.0470405074","2","yes","1440"
"Y","0","10.0233640635","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.139345796701","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0230516831","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","37","7","37","7","87","7","47","7","3","3","8","4","8488.69893961","7799.33863052","8488.69893961","N","8","64836.0923081","172672.902407","180983.181543","191004.639543","4828.8896566","64835.9242503","201559.060566","180483.408889","64571.3405555","NA","210048.527985","93237.7921966","170281.841757","4834.9421528","NA","172288.885402","168387.81656","201026.067069","186004.389116","196025.931899","64835.7610199","64835.8367516","mental arithmetic experiment","0","30.0700921904","3","yes","1440"
"N","25","10.0248035428","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.188278023501","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0291219807","psycho","Jazzy James","3.1.4"," TU_Dresden","39","9","63","3","69","9","73","3","3","6","6","7","3142.92942626","10816.5125131","3142.92942626","Y","8","64836.0923081","214535.021958","225883.111695","235897.49799","4828.8896566","64835.9242503","246456.257138","225383.066588","64571.3405555","NA","249599.906165","93237.7921966","212142.960202","4834.9421528","NA","214150.145957","210051.386176","245924.944521","230897.3595","240924.712499","64835.7610199","64835.8367516","mental arithmetic experiment","1","40.0992141712","4","yes","1440"
"N","20","10.0252498918","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.0647967235502","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0270352876","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","76","6","61","1","61","1","27","7","7","6","6","2","3453.33558617","4970.61310942","3453.33558617","Y","8","64836.0923081","253716.272495","259215.484856","269227.027141","4828.8896566","64835.9242503","279785.326468","258716.111679","64571.3405555","NA","283239.469154","93237.7921966","251507.183794","4834.9421528","NA","253328.891618","249602.605651","279252.382152","264226.939944","274252.628054","64835.7610199","64835.8367516","mental arithmetic experiment","1","50.1262494588","5","yes","1440"
"N","33.3333333333","10.0253709517","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","-0.171816016727","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0259762516","psycho","Jazzy James","3.1.4"," Sonntag","68","8","21","1","62","2","57","7","6","2","6","5","4287.81701306","7345.84796045","4287.81701306","N","8","64836.0923081","286844.665672","294725.017537","304755.434801","4828.8896566","64835.9242503","315294.218599","294224.97062","64571.3405555","NA","319582.890082","93237.7921966","285125.181371","4834.9421528","NA","286465.002783","283242.336095","314779.857498","299755.474024","309779.607674","64835.7610199","64835.8367516","mental arithmetic experiment","2","60.1522257104","6","yes","1440"
"N","42.8571428571","10.0256165156","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.0674697233902","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0270898989","psycho","Jazzy James","3.1.4"," vp_monat_fake","92","2","52","2","54","4","83","3","9","5","5","8","4446.22043336","7091.73785993","4446.22043336","N","8","64836.0923081","323162.251854","330784.548937","340798.932214","4828.8896566","64835.9242503","351359.378578","330285.046925","64571.3405555","NA","355806.435077","93237.7921966","321504.347629","4834.9421528","NA","322776.337938","319585.87077","350824.365974","335798.686916","345824.822174","64835.7610199","64835.8367516","mental arithmetic experiment","3","70.1793156093","7","yes","1440"
"N","37.5","10.0259111556","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.104537495814","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0279736357","psycho","Jazzy James","3.1.4"," vp_haarfarbe","69","9","61","1","21","1","79","9","6","6","2","7","2167.32768414","3740.76851012","2167.32768414","N","8","64836.0923081","359824.727736","364099.91929","374111.340887","4828.8896566","64835.9242503","384669.815815","363599.899226","64571.3405555","NA","386838.057106","93237.7921966","357683.620093","4834.9421528","NA","359438.464126","355809.79382","384137.78933","369111.504118","379137.598945","64835.7610199","64835.8367516","mental arithmetic experiment","3","80.2072892451","8","yes","1440"
"N","44.4444444444","10.025824252","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","0.00441318156861","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.0251290229","psycho","Jazzy James","3.1.4"," vp_alter_fake","31","1","64","4","23","3","42","2","3","6","2","4","2218.91631353","2152.66954004","2218.91631353","Y","8","64836.0923081","390204.262695","392884.170731","402899.549683","4828.8896566","64835.9242503","413473.824463","392384.126529","64571.3405555","NA","415693.628435","93237.7921966","388753.859824","4834.9421528","NA","389818.002706","386840.861892","412922.995714","397899.361109","407923.423251","64835.7610199","64835.8367516","mental arithmetic experiment","4","90.2324182679","9","yes","1440"
"N","50","10.0259476788","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.0785083836308","03/14/17 13:44:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP08/subject-8_2.csv","10.02705852","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","51","1","46","6","58","8","63","3","5","4","5","6","3126.04398771","1348.96321585","3126.04398771","Y","8","64836.0923081","419007.700489","420883.323502","430896.783216","4828.8896566","64835.9242503","441454.205444","420383.699294","64571.3405555","NA","444581.166659","93237.7921966","417557.946315","4834.9421528","NA","418621.186754","415696.290508","440922.182881","425896.52072","435921.965945","64835.7610199","64835.8367516","mental arithmetic experiment","5","100.259476788","10","yes","1440"
