"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","0","10.0270435561","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","Y","0","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.000272961172228","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0270435561","psycho","Jazzy James","3.1.4"," vp_name","86","6","21","1","93","3","36","6","8","2","9","3","7883.95767069","5240.5124436","7883.95767069","Y","1","82505.8810147","125422.118493","131185.821903","141202.139818","4882.2252273","82497.8421395","151793.62351","130686.321542","82360.7087751","NA","159678.357492","124490.486044","125403.923311","4883.89551755","NA","125404.242827","NA","151227.333262","136202.091242","146227.659415","82497.56064","82497.7066698","mental arithmetic experiment","0","10.0270435561","1","yes","1440"
"N","50","10.0270479309","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","N","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","0.000575645597956","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0270523058","psycho","Jazzy James","3.1.4"," vp_monat_fake","43","3","85","5","65","5","43","3","4","8","6","4","3253.48977822","9791.5241821","3253.48977822","Y","1","82505.8810147","160997.704256","171304.831894","181321.141663","4882.2252273","82497.8421395","191879.101881","170805.326705","82360.7087751","NA","195133.253922","124490.486044","160975.418734","4883.89551755","NA","160975.763292","159682.88049","191346.304935","176321.170627","186346.700785","82497.56064","82497.7066698","mental arithmetic experiment","1","20.0540958619","2","yes","1440"
"Y","33.3333333333","10.0273868064","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.00122866548037","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0280645572","psycho","Jazzy James","3.1.4"," TU_Dresden","49","9","63","3","27","7","37","7","4","6","2","3","6451.41253575","8237.54719566","6451.41253575","N","1","82505.8810147","196422.623563","205187.776408","215202.899535","4882.2252273","82497.8421395","225727.870917","204687.761926","82360.7087751","NA","232180.019636","124490.486044","196390.050489","4883.89551755","NA","196390.385392","195135.897241","225229.222597","210203.40038","220229.050318","82497.56064","82497.7066698","mental arithmetic experiment","1","30.0821604191","3","yes","1440"
"Y","25","10.0275101572","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","N","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","-0.00266949779937","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0278802098","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","93","3","37","7","31","1","82","2","9","3","3","8","5734.67608257","9306.66993725","5734.67608257","Y","1","82505.8810147","233272.219296","243093.603537","253108.93032","4882.2252273","82497.8421395","263667.388066","242593.590563","82360.7087751","NA","269402.835631","124490.486044","233254.862578","4883.89551755","NA","233255.174852","232205.845171","263135.056363","248109.348798","258134.848482","82497.56064","82497.7066698","mental arithmetic experiment","1","40.1100406288","4","yes","1440"
"N","20","10.0273630112","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","Y","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.00101418082041","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0267744269","psycho","Jazzy James","3.1.4"," vp_alter","49","9","35","5","86","6","79","9","4","3","8","7","3994.32656468","7942.90992561","3994.32656468","N","1","82505.8810147","270490.855342","278954.475841","288969.698231","4882.2252273","82497.8421395","299494.624357","278454.385025","82360.7087751","NA","303489.831625","124490.486044","270467.233829","4883.89551755","NA","270467.655022","269405.90829","298994.95413","283969.954387","293995.55424","82497.56064","82497.7066698","mental arithmetic experiment","1","50.1368150558","5","yes","1440"
"Y","33.3333333333","10.0272779378","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.000571231148417","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0268525709","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","29","9","68","8","83","3","28","8","2","6","8","2","4905.62648858","4682.16814295","4905.62648858","N","1","82505.8810147","304574.556616","309768.211323","319784.461654","4882.2252273","82497.8421395","330342.296963","309268.502176","82360.7087751","NA","335248.732347","124490.486044","304539.618706","4883.89551755","NA","304539.934902","303492.906697","329809.725096","314784.291186","324809.82255","82497.56064","82497.7066698","mental arithmetic experiment","2","60.1636676267","6","yes","1440"
"Y","42.8571428571","10.0271808361","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.00338888822268","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0265982258","psycho","Jazzy James","3.1.4"," tag","84","4","57","7","94","4","53","3","8","5","9","5","1726.33247586","2992.97005727","1726.33247586","Y","1","82505.8810147","336310.769933","339827.996913","349844.288579","4882.2252273","82497.8421395","360368.652912","339328.439829","82360.7087751","NA","362095.947857","124490.486044","336280.137485","4883.89551755","NA","336280.491094","335251.564238","359869.463015","344844.264442","354869.820546","82497.56064","82497.7066698","mental arithmetic experiment","3","70.1902658525","7","yes","1440"
"N","50","10.0268755767","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","N","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.00215815688966","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0247387607","psycho","Jazzy James","3.1.4"," Sonntag","73","3","68","8","87","7","97","7","7","6","8","9","3617.19729157","3751.74586968","3617.19729157","Y","1","82505.8810147","363135.097698","367406.666799","377424.951892","4882.2252273","82497.8421395","387980.844764","366907.02946","82360.7087751","NA","391599.235335","124490.486044","363102.237392","4883.89551755","NA","363102.773237","362099.523774","387448.107558","372424.850817","382448.313327","82497.56064","82497.7066698","mental arithmetic experiment","4","80.2150046132","8","yes","1440"
"Y","55.5555555556","10.0268510288","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","Y","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","0.00249579368707","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0266546464","psycho","Jazzy James","3.1.4"," TU_Chemnitz","97","7","58","8","68","8","38","8","9","5","6","3","3644.98547849","4064.80883082","3644.98547849","N","1","82505.8810147","392893.047417","397483.353518","407499.737207","4882.2252273","82497.8421395","418024.075291","396983.742729","82360.7087751","NA","421670.118278","124490.486044","392866.417209","4883.89551755","NA","392866.745474","391602.220798","417524.870912","402499.564023","412524.971382","82497.56064","82497.7066698","mental arithmetic experiment","5","90.2416592596","9","yes","1440"
"Y","50","10.0268470797","#4c4c4c","no","4","psycho","psycho","psycho","0","uniform","N","0","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.00232226385366","02/25/17 15:09:53","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_4.csv","10.0268115378","psycho","Jazzy James","3.1.4"," vp_alter_fake","29","9","64","4","27","7","74","4","2","6","2","7","2067.06323992","4021.66640418","2067.06323992","N","1","82505.8810147","422735.218263","427275.087392","437291.335007","4882.2252273","82497.8421395","447849.127171","426775.420786","82360.7087751","NA","449917.122708","124490.486044","422716.730117","4883.89551755","NA","422717.072261","421672.996331","447316.593923","432291.18596","442316.753832","82497.56064","82497.7066698","mental arithmetic experiment","5","100.268470797","10","yes","1440"
