"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.029890532","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-8.40594639368e-05","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.029890532","psycho","Jazzy James","3.1.4"," vp_monat","84","4","61","1","69","9","52","2","8","6","6","5","1917.44765408","4586.33916185","1917.44765408","Y","1","40644.6394122","89257.8054993","94388.289986","104416.50178","6868.99505611","40635.7207381","115261.765499","93888.7733323","40434.5394663","NA","117179.916449","86619.9893555","88206.6435071","6873.09143089","NA","89226.2670039","NA","114443.777656","99416.9181455","109443.303361","40635.5644501","40635.6338444","mental arithmetic experiment","1","10.029890532","1","yes","1440"
"Y","100","10.0249931058","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.000740245243241","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0200956796","psycho","Jazzy James","3.1.4"," vp_haarfarbe","38","8","26","6","35","5","35","5","3","2","3","3","2031.77745313","3122.81943547","2031.77745313","Y","1","40644.6394122","120576.317722","124225.915205","134265.844073","6868.99505611","40635.7207381","145018.347547","123726.485747","40434.5394663","NA","147051.564177","86619.9893555","119197.969222","6873.09143089","NA","120550.321416","117184.411992","144284.464671","129263.81957","139284.547039","40635.5644501","40635.6338444","mental arithmetic experiment","2","20.0499862117","2","yes","1440"
"N","66.6666666667","10.0279776635","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","1.70964663226e-05","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0339467788","psycho","Jazzy James","3.1.4"," vp_name","61","1","78","8","76","6","68","8","6","7","7","6","3344.73813312","2432.72706866","3344.73813312","Y","1","40644.6394122","149377.305776","152325.924739","162368.871957","6868.99505611","40635.7207381","173167.141565","151824.970417","40434.5394663","NA","176516.018313","86619.9893555","148782.767227","6873.09143089","NA","149341.883313","147056.919908","172400.547129","157368.627266","167400.034214","40635.5644501","40635.6338444","mental arithmetic experiment","2","30.0839329905","3","yes","1440"
"Y","75","10.0323961183","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","6.19662329457e-05","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0456514826","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","23","3","41","1","24","4","98","8","2","4","2","9","2297.71173856","4041.17072382","2297.71173856","N","1","40644.6394122","179839.732392","184399.328505","194412.730653","6868.99505611","40635.7207381","206078.524762","183897.084052","40434.5394663","NA","208377.022165","86619.9893555","178386.807664","6873.09143089","NA","179802.2634","176537.281928","204456.514524","189412.705611","199438.203786","40635.5644501","40635.6338444","mental arithmetic experiment","3","40.1295844731","4","yes","1440"
"Y","60","10.0306449384","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","N","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.00195865906171","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.023640219","psycho","Jazzy James","3.1.4"," Sonntag","65","5","56","6","39","9","82","2","6","5","3","8","2166.51671467","2342.92845087","2166.51671467","Y","1","40644.6394122","211241.135484","214108.228835","224142.443234","6868.99505611","40635.7207381","234968.787054","213608.084615","40434.5394663","NA","237136.607778","86619.9893555","210184.060193","6873.09143089","NA","211218.302954","208379.931595","234163.586164","219120.585543","229162.983942","40635.5644501","40635.6338444","mental arithmetic experiment","3","50.1532246921","5","yes","1440"
"Y","50","10.029641668","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","N","0","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.000104995313476","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0246253161","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","45","5","68","8","97","7","64","4","4","6","9","6","5137.67343291","4224.66339246","5137.67343291","N","1","40644.6394122","239523.881892","244283.156438","254302.331889","6868.99505611","40635.7207381","265100.559559","243782.449522","40434.5394663","NA","270239.131497","86619.9893555","238950.721007","6873.09143089","NA","239496.857344","237141.158836","264324.318714","249298.054184","259324.599912","40635.5644501","40635.6338444","mental arithmetic experiment","3","60.1778500082","6","yes","1440"
"N","42.8571428571","10.0294869245","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","0","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.00118878314841","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0285584635","psycho","Jazzy James","3.1.4"," tag","92","2","46","6","76","6","57","7","9","4","7","5","2625.69929827","3235.58756141","2625.69929827","Y","1","40644.6394122","272266.46832","276018.666157","286034.915885","6868.99505611","40635.7207381","296827.440853","275518.822747","40434.5394663","NA","299454.507823","86619.9893555","272063.611327","6873.09143089","NA","272228.808645","270242.141097","296060.265617","281034.579474","291060.335917","40635.5644501","40635.6338444","mental arithmetic experiment","3","70.2064084717","7","yes","1440"
"Y","50","10.0296554589","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","Y","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","3.28041576759e-05","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0308351994","psycho","Jazzy James","3.1.4"," vp_alter","73","3","68","8","38","8","31","1","7","6","3","3","2160.23623021","5475.91354558","2160.23623021","N","1","40644.6394122","301856.9995","307855.347614","317873.412153","6868.99505611","40635.7207381","328700.041697","307356.016816","40434.5394663","NA","330861.250352","86619.9893555","301281.388091","6873.09143089","NA","301819.27737","299457.954305","327901.938937","312871.76781","322902.164619","40635.5644501","40635.6338444","mental arithmetic experiment","4","80.2372436711","8","yes","1440"
"Y","44.4444444444","10.0295759446","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","N","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.000930246843927","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0289398303","psycho","Jazzy James","3.1.4"," vp_monat_fake","94","4","24","4","47","7","68","8","9","2","4","6","4965.25609206","2891.3907037","4965.25609206","Y","1","40644.6394122","332872.687737","336290.13871","346305.498984","6868.99505611","40635.7207381","357133.88722","335789.913933","40434.5394663","NA","362101.023596","86619.9893555","332668.604276","6873.09143089","NA","332835.453781","330864.892949","356332.672277","341305.632342","351333.002654","40635.5644501","40635.6338444","mental arithmetic experiment","4","90.2661835014","9","yes","1440"
"N","50","10.0294778774","#4c4c4c","no","","psycho","psycho","psycho","0","uniform","N","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.00860619644153","02/25/17 15:37:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-1_6.csv","10.0285952726","psycho","Jazzy James","3.1.4"," TU_Dresden","45","5","94","4","78","8","23","3","4","9","7","2","2002.34884567","12013.514386","2002.34884567","N","1","40644.6394122","364475.231973","377029.579163","387045.353992","6868.99505611","40635.7207381","397871.52493","376529.433435","40434.5394663","NA","399875.849703","86619.9893555","364260.688681","6873.09143089","NA","364438.137711","362105.238544","397071.476415","382045.533512","392071.009059","40635.5644501","40635.6338444","mental arithmetic experiment","5","100.294778774","10","yes","1440"
