"tracker"	"model1"	"model2"	"p"	"z"	"auc1"	"auc2"	"p.holm"	"different"	"significance"
"Eyelink"	"LogR"	"DS"	"0.000996198143436863"	"3.29159824406422"	"0.851792800453515"	"0.771612811791383"	0.0079695851474949	1	"**"
"Eyelink"	"LogR"	"DS_full"	"0.000194887615270606"	"3.72555284739497"	"0.851792800453515"	"0.789824263038549"	0.00179421322119799	1	"**"
"Eyelink"	"kNN"	"LogR"	"0.0980185762717849"	"1.65453638784965"	"0.866514314058957"	"0.851792800453515"	0.686130033902494	0	""
"Eyelink"	"kNN"	"DS"	"0.000179421322119799"	"3.74635683609128"	"0.866514314058957"	"0.771612811791383"	0.00179421322119799	1	"**"
"Eyelink"	"kNN"	"DS_full"	"7.79437658826864e-06"	"4.47075549916103"	"0.866514314058957"	"0.789824263038549"	0.000109121272235761	1	"***"
"Eyelink"	"SVM"	"LogR"	"5.74066532756558e-05"	"4.02322480435085"	"0.867116638321995"	"0.851792800453515"	0.00068887983930787	1	"***"
"Eyelink"	"SVM"	"kNN"	"0.941031952456505"	"0.0739728954468101"	"0.867116638321995"	"0.866514314058957"	1	0	""
"Eyelink"	"SVM"	"DS"	"4.04922918686577e-05"	"4.10465259601937"	"0.867116638321995"	"0.771612811791383"	0.00052639979429255	1	"***"
"Eyelink"	"SVM"	"DS_full"	"2.76958118780598e-06"	"4.68720750412133"	"0.867116638321995"	"0.789824263038549"	4.15437178170897e-05	1	"***"
"EyeSeeCam"	"LogR"	"DS"	"0.199261778592184"	"1.2836576215705"	"0.902954931972789"	"0.882688492063492"	1	0	""
"EyeSeeCam"	"LogR"	"DS_full"	"5.56091169963788e-06"	"4.54243131791757"	"0.902954931972789"	"0.833049886621315"	7.22918520952924e-05	1	"***"
"EyeSeeCam"	"kNN"	"LogR"	"0.717906408644975"	"0.361258239574076"	"0.904655612244898"	"0.902954931972789"	1	0	""
"EyeSeeCam"	"kNN"	"DS"	"0.168547321255241"	"1.37688656599634"	"0.904655612244898"	"0.882688492063492"	1	0	""
"EyeSeeCam"	"kNN"	"DS_full"	"3.01655430856752e-06"	"4.66968942820524"	"0.904655612244898"	"0.833049886621315"	4.22317603199453e-05	1	"***"
"EyeSeeCam"	"SVM"	"LogR"	"6.52613546829195e-05"	"3.99293175885726"	"0.91843820861678"	"0.902954931972789"	0.000783136256195034	1	"***"
"EyeSeeCam"	"SVM"	"kNN"	"0.0034166482143488"	"2.92753116116695"	"0.91843820861678"	"0.904655612244898"	0.034166482143488	1	"*"
"EyeSeeCam"	"SVM"	"DS"	"0.0148784257822701"	"2.43532484813747"	"0.91843820861678"	"0.882688492063492"	0.119027406258161	0	""
"EyeSeeCam"	"SVM"	"DS_full"	"9.02816331897398e-08"	"5.34527148392766"	"0.91843820861678"	"0.833049886621315"	1.3542244978461e-06	1	"***"
"EyeTribe"	"LogR"	"DS"	"1.75583063443583e-06"	"4.77967010237856"	"0.875814909297052"	"0.759318310657596"	2.28257982476658e-05	1	"***"
"EyeTribe"	"LogR"	"DS_full"	"0.25070166962212"	"1.14864675464362"	"0.875814909297052"	"0.863945578231292"	1	0	""
"EyeTribe"	"kNN"	"LogR"	"0.691002548054855"	"0.397494898093725"	"0.878383645124717"	"0.875814909297052"	1	0	""
"EyeTribe"	"kNN"	"DS"	"1.12163371768729e-06"	"4.86900182546555"	"0.878383645124717"	"0.759318310657596"	1.57028720476221e-05	1	"***"
"EyeTribe"	"kNN"	"DS_full"	"0.214935742060833"	"1.2401072112772"	"0.878383645124717"	"0.863945578231292"	1	0	""
"EyeTribe"	"SVM"	"LogR"	"4.55355493090369e-05"	"4.07743349060408"	"0.889172335600907"	"0.875814909297052"	0.000546426591708443	1	"***"
"EyeTribe"	"SVM"	"kNN"	"0.0488738737753765"	"1.96969031378783"	"0.889172335600907"	"0.878383645124717"	0.439864863978388	0	""
"EyeTribe"	"SVM"	"DS"	"9.01369789100133e-08"	"5.34556191525733"	"0.889172335600907"	"0.759318310657596"	1.3520546836502e-06	1	"***"
"EyeTribe"	"SVM"	"DS_full"	"0.00922014431310991"	"2.6037817727047"	"0.889172335600907"	"0.863945578231292"	0.0922014431310991	0	""
